"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date"
"11","Atlas Informatics","Hardware, Consumer Electronics, Software, Internet Services","Seattle, Washington, United States","Operating",,2015-01-01,,"Search Engine, Software, Computer","11-50",0,1,2016-11-02,20700000,"Series Unknown",20700000,20700000,20700000,3,0,,,,,
"12","Amagi Media Labs","Sales and Marketing, Advertising","Bangalore, Karnataka, India","Operating",,2008-01-01,9,"Advertising, Advertising Platforms","101-250",3,4,2016-12-15,3.5e+07,"Series D",3.5e+07,45200000,45200000,5,3,,,,,
"13","ACTON","Hardware, Commerce and Shopping, Consumer Electronics, Sports, Transportation, Design","Mountain View, California, United States","Operating",,2013-01-01,8,"Fashion, Sporting Goods, Transportation, Consumer Electronics","11-50",2,3,2015-05-15,2600000,"Series A",2600000,5100000,5100000,1,0,,,,,
"14","Armada Interactive","Gaming, Mobile","Helsinki, Southern Finland, Finland","Operating",,2015-01-01,1,"PC Games, Gaming, Mobile","11-50",5,2,2017-02-23,7e+06,"Seed",7e+06,1e+07,1e+07,11,3,,,,,
"15","ABODO","Real Estate, Sales and Marketing, Internet Services, Advertising","Madison, Wisconsin, United States","Operating",,2011-01-03,9,"Real Estate, Search Engine, Local Advertising","11-50",3,5,2016-06-16,4800000,"Series A",4800000,7318000,7318000,11,3,,,,,
"16","Annum Health","Media and Entertainment, Health Care","New York, New York, United States","Operating",,2016-01-01,,"Health Care, Digital Media, Medical","1-10",3,1,2016-11-08,2500000,"Seed",2500000,2500000,2500000,,,,,,,
"17","Ascent Robotics, Inc.","Science and Engineering, Hardware, Software","Tokyo, Tokyo, Japan","Operating",,2016-01-01,,"Hardware, Robotics, Enterprise Software",,1,1,2016-09-09,8e+05,"Seed",8e+05,8e+05,8e+05,,,,,,,
"18","Ario","Travel and Tourism, Hardware, Consumer Electronics, Real Estate, Internet Services","San Francisco, California, United States","Operating",,2015-08-01,1,"Smart Building, Electronics, Lighting, Hotel, Internet of Things","1-10",3,3,2016-10-22,1500000,"Seed",1500000,1702000,1702000,4,0,,,,,
"19","Agersens","Agriculture and Farming, Manufacturing","Melbourne, Victoria, Australia","Operating",,2014-06-04,,"Manufacturing, Farming","1-10",1,2,2017-04-06,2e+06,"Seed",2e+06,2355092,2355092,,,,,,,
"20","Airphrame","Science and Engineering, Hardware, Navigation and Mapping, Data and Analytics, Software, Sales and Marketing","San Francisco, California, United States","Operating",,2012-06-17,5,"Digital Signage, Geospatial, Robotics, 3D Technology, Navigation","11-50",1,2,2014-07-16,4249998,"Series A",4249998,4249998,4249998,4,0,,,,,
"21","ArgonCredit","Data and Analytics, Software, Financial Services, Lending and Investments","Chicago, Illinois, United States","Operating",,2013-12-01,,"FinTech, Consumer Lending, Personal Finance, Innovation Management, Machine Learning, Financial Services, Analytics, Finance","11-50",2,4,2015-05-19,7.5e+07,"Debt Financing",3e+06,5050000,80050000,3,1,,,,,
"22","Axelspace","Science and Engineering, Government and Military","Tokyo, Tokyo, Japan","Operating",,2008-08-08,5,"Real Time, Aerospace, National Security","11-50",3,2,2015-09-16,15800000,"Series A",15800000,16050000,16050000,8,1,,,,,
"23","Alpine Immune Sciences","Biotechnology, Science and Engineering, Health Care","Seattle, Washington, United States","Operating",,2015-01-23,2,"Health Care, Medical, Biotechnology","1-10",3,2,2016-06-13,4.8e+07,"Series A",4.8e+07,49300000,49300000,4,2,,,,,
"24","Adways Inc.","Apps, Software, Sales and Marketing, Mobile, Advertising","Tokyo, Tokyo, Japan","IPO",,2001-02-28,1,"App Marketing, Apps, Advertising, Mobile","501-1000",0,1,2010-12-31,17776000,"Post-IPO Equity",17776000,17776000,17776000,,,"TYO","2489",,,2006-06-30
"25","Actofit","Hardware, Consumer Electronics, Community and Lifestyle, Software, Sports, Health Care","Mumbai, Maharashtra, India","Operating",,2014-01-01,,"Health Care, Fitness, Wearables, Hardware, Lifestyle, Software","11-50",3,2,2016-10-19,9e+05,"Seed",9e+05,1050000,1050000,4,0,,,,,
"26","Amino Diet Reviews","Transportation","Beijing, Beijing, China","Operating",,2011-12-01,,"Supply Chain Management, Customer Service",,1,5,2016-07-21,7e+07,"Series E",7e+07,2.3e+08,2.3e+08,8,5,,,,,
"27","AppSheet","Apps, Software, Internet Services, Mobile","Seattle, Washington, United States","Operating",,2012-06-01,7,"Developer Tools, Cloud Computing, Mobile Apps","1-10",2,3,2015-10-16,1500000,"Seed",1500000,2015000,2015000,2,1,,,,,
"28","Audicus","Commerce and Shopping, Health Care","New York, New York, United States","Operating",,2011-01-01,31,"Health Care, E-Commerce","11-50",1,1,2014-04-30,1574000,"Debt Financing",0,0,1574000,1,0,,,,,
"29","AYLIEN","Science and Engineering, Data and Analytics, Software","Dublin, Dublin, Ireland","Operating",,2010-01-01,9,"Text Analytics, Machine Learning, Big Data, Artificial Intelligence, Natural Language Processing","1-10",1,5,2016-03-06,0,"Series Unknown",0,1137262,1137262,5,0,,,,,
"30","azeti Networks AG","Hardware, Information Technology, Internet Services","Berlin, Berlin, Germany","Operating",,2006-01-01,11,"Information Technology, Internet of Things, Cloud Infrastructure","11-50",2,4,2016-04-25,4e+06,"Series C",4e+06,20958398,20958398,3,1,,,,,
"31","AdPushup","Apps, Software, Advertising","New Delhi, Delhi, India","Operating",,2013-01-01,16,"Advertising Platforms, Apps","1-10",2,3,2016-08-08,0,"Series A",0,632000,632000,17,1,,,,,
"32","Affigen","Biotechnology, Science and Engineering","Saint Louis, Missouri, United States","Operating",,2016-01-01,,"Biotechnology",,0,1,2017-02-21,1.7e+07,"Series A",1.7e+07,1.7e+07,1.7e+07,1,1,,,,,
"33","Astro Technology","Apps, Information Technology, Software, Internet Services, Messaging and Telecommunications, Mobile","Palo Alto, California, United States","Operating",,2015-01-01,2,"Email, Collaboration, Mobile Apps, Enterprise Software","11-50",3,1,2017-03-09,8e+06,"Series A",8e+06,8e+06,8e+06,5,2,,,,,
"34","AutoBot","Platforms, Apps, Software, Mobile","Beijing, Beijing, China","Operating",,,12,"Software, Android, iOS, Apps",,2,1,2015-01-28,6e+06,"Series A",6e+06,6e+06,6e+06,2,1,,,,,
"35","Amimon","Science and Engineering, Hardware, Media and Entertainment, Video, Mobile","Herzliya, Tel Aviv, Israel","Operating",,2004-01-01,61,"Video, Semiconductor, Wireless","51-100",1,6,2015-06-11,4120000,"Series Unknown",4120000,50120000,50120000,8,4,,,,,
"36","Antlos","Travel and Tourism, Commerce and Shopping, Information Technology, Sports","Roncade, Veneto, Italy","Operating",,2014-12-16,4,"Travel, Marketplace, Boating, Tourism, ICT, Sailing","1-10",3,3,2016-05-26,0,"Convertible Note",0,1122410,1122410,5,0,,,,,
"37","Alt/S",,"Sunnyvale, California, United States","Operating",,2015-05-05,,,"1-10",2,1,2015-05-05,1500000,"Seed",1500000,1500000,1500000,,,,,,,
"38","Acre Designs","Sustainability, Real Estate","Palo Alto, California, United States","Operating",,2014-06-08,1,"Real Estate, Construction, Sustainability, CleanTech","1-10",1,1,2015-11-21,120000,"Seed",120000,120000,120000,6,1,,,,,
"39","Askem","Data and Analytics, Sales and Marketing, Design, Mobile","Tel Aviv, Tel Aviv, Israel","Operating",,2013-02-01,11,"Market Research, Marketing, Mobile","11-50",4,4,2016-05-15,0,"Series Unknown",0,1850000,1850000,5,0,,,,,
"40","Adello Inc","Data and Analytics, Sales and Marketing, Mobile, Advertising","Redwood City, California, United States","Operating",,2012-12-12,5,"Analytics, Real Time, Mobile, Advertising","11-50",4,1,2014-08-12,2e+06,"Series A",2e+06,2e+06,2e+06,1,1,,,,,
"41","Ayogo Health","Health Care","Vancouver, British Columbia, Canada","Operating",,2011-01-01,4,"Health Care","11-50",1,1,2015-04-07,2500000,"Series A",2500000,2500000,2500000,6,4,,,,,
"42","AlterGeo","Apps, Hardware, Navigation and Mapping, Data and Analytics, Community and Lifestyle, Software, Sales and Marketing, Internet Services, Mobile, Advertising","Moscow, Moscow City, Russian Federation","Operating",,2008-01-01,14,"Local Advertising, Wireless, Apps, Advertising, Search Engine, Navigation, Location Based Services, Private Social Networking","11-50",4,2,2011-06-09,1e+07,"Series Unknown",1e+07,1.1e+07,1.1e+07,4,3,,,,,
"43","Apropose","Data and Analytics","Mountain View, California, United States","Operating",,2013-09-15,,"Analytics, Big Data","11-50",4,1,2014-09-11,1875000,"Seed",1875000,1875000,1875000,4,2,,,,,
"44","Artiphon","Hardware, Media and Entertainment, Consumer Electronics, Music and Audio, Software, Education","Nashville, Tennessee, United States","Operating",,2011-01-01,14,"Software, Consumer Electronics, Music Education, Hardware, Musical Instruments","1-10",1,1,2015-03-03,1300000,"Product Crowdfunding",1300000,1300000,1300000,1,0,,,,,
"45","Applop Mobile Solutions Pvt Ltd","Apps, Software, Internet Services, Mobile","Gurgaon, Haryana, India","Operating",,2015-11-04,,"Mobile, Internet, Mobile Apps","11-50",1,2,2016-07-19,250000,"Seed",250000,350000,350000,2,1,,,,,
"46","Aeris Cleantec AG","Hardware, Health Care","Winterthur, Zurich, Switzerland","Operating",,2014-05-01,,"Sensor, Medical","11-50",4,1,2015-09-01,1050000,"Seed",1050000,1050000,1050000,2,0,,,,,
"47","AlgoMerchant","Financial Services","Singapore, Central Region, Singapore","Operating",,2013-01-01,,"Financial Services, FinTech","1-10",2,1,2016-01-25,1300000,"Seed",1300000,1300000,1300000,1,1,,,,,
"48","Athentek","Information Technology","Palo Alto, California, United States","Operating",,2015-01-01,1,"Information Technology","11-50",1,1,2016-02-19,7e+06,"Series A",7e+06,7e+06,7e+06,4,1,,,,,
"49","Agrivi","Agriculture and Farming","London, England, United Kingdom","Operating",,2013-06-18,3,"Agriculture, SaaS, Farming, B2B",,1,3,2016-07-04,0,"Series A",0,1413834,1413834,1,1,,,,,
"50","Acarix","Health Care","Kongens Lyngby, Hovedstaden, Denmark","IPO",,2009-01-01,1,"Health Care","1-10",2,3,2016-11-11,0,"Funding Round",0,4710966,4710966,7,5,"STO","ACARIX","kr405,281,817","kr140,000,000",2016-12-19
"51","Adku","Commerce and Shopping, Data and Analytics, Software","San Francisco, California, United States","Was Acquired",,2010-08-01,23,"Big Data, E-Commerce, Enterprise Software","1-10",3,3,2011-12-09,0,"Series Unknown",0,1540000,1540000,8,0,,,,,
"52","Akamon Entertainment","Gaming","Barcelona, Catalonia, Spain","Was Acquired",,2011-07-15,18,"Gaming, PC Games, Video Games","101-250",7,3,2014-05-25,0,"Series A",0,5045650,5045650,5,2,,,,,
"53","Apptuto","Gaming, Software, Education","San Francisco, California, United States","Operating",,2014-06-01,1,"E-Learning, Social, Gaming","1-10",1,1,2015-10-28,5e+05,"Seed",5e+05,5e+05,5e+05,7,1,,,,,
"54","AlephCloud Systems","Information Technology, Software, Privacy and Security","Sunnyvale, California, United States","Closed",,2011-01-01,,"Information Technology, Security, Enterprise Software","11-50",1,2,2013-05-22,7500000,"Series B",7500000,9500000,9500000,2,2,,,,,
"55","Airstone","Data and Analytics","San Francisco, California, United States","Operating",,2013-01-01,,"Big Data, Analytics","11-50",0,1,2013-01-01,2511000,"Series Unknown",2511000,2511000,2511000,3,0,,,,,
"56","advids.co","Media and Entertainment, Sales and Marketing, Video, Advertising","New York, New York, United States","Operating",,2010-11-06,1,"Advertising, Video, Digital Media, Content Creators","101-250",3,1,2011-12-12,3e+05,"Seed",3e+05,3e+05,3e+05,1,0,,,,,
"57","awamo","Biotechnology, Science and Engineering, Data and Analytics, Financial Services, Lending and Investments","Frankfurt, Hessen, Germany","Operating",,2015-06-12,2,"Lending, FinTech, Biometrics, Financial Services, Micro Lending","1-10",3,1,2015-08-10,550000,"Seed",550000,550000,550000,,,,,,,
"58","Arrikto","Software","Palo Alto, California, United States","Operating",,2015-01-01,,"Software","11-50",2,1,2015-09-24,2e+06,"Seed",2e+06,2e+06,2e+06,,,,,,,
"59","Airviz",,"Pittsburgh, Pennsylvania, United States","Operating",,2014-01-01,,"Personalization",,0,1,2015-04-24,2e+06,"Seed",2e+06,2e+06,2e+06,2,0,,,,,
"60","Avidbots","Science and Engineering, Hardware, Software","Waterloo, Ontario, Canada","Operating",,2014-01-01,3,"Hardware, Robotics, Software","11-50",3,3,2016-02-22,0,"Series Unknown",0,25000,25000,3,0,,,,,
"61","Acclaimd","Data and Analytics, Professional Services","Columbus, Ohio, United States","Operating",,2012-02-01,,"Analytics, Recruiting, Social Recruiting, Career Planning","1-10",2,2,2012-08-07,70000,"Seed",70000,90000,90000,3,0,,,,,
"62","Anzu","Software, Health Care, Financial Services, Lending and Investments","Phoenix, Arizona, United States","Operating",,2010-01-01,1,"Enterprise Software, Medical, Incubators","11-50",1,1,2014-03-04,1741241,"Series Unknown",1741241,1741241,1741241,,,,,,,
"63","anydooR","Education","Tokyo, Tokyo, Japan","Was Acquired",,2009-02-09,4,"Language Learning, B2B, Crowdsourcing","1-10",2,3,2013-10-01,6e+05,"Seed",6e+05,1080000,1080000,6,0,,,,,
"64","ALTPAY","Apps, Software, Payments, Financial Services, Mobile","Hollywood, Florida, United States","Operating",,2014-01-01,,"Mobile Payments, Apps, Customer Service","11-50",0,1,2014-12-02,1e+06,"Series Unknown",1e+06,1e+06,1e+06,1,0,,,,,
"65","Appota","Mobile","Hanoi, NA - Vietnam, Vietnam","Operating",,2011-12-12,41,"Local, Mobile","101-250",4,2,2017-04-05,0,"Series C",0,0,0,2,2,,,,,
"66","AddSearch","Food and Beverage, Health Care, Internet Services","Helsinki, Southern Finland, Finland","Operating",,2013-01-01,4,"Search Engine, Dietary Supplements","11-50",3,1,2013-11-07,650000,"Seed",650000,650000,650000,1,0,,,,,
"67","Annapurna Labs","Hardware, Software, Internet Services","San Jose, California, United States","Was Acquired",,2011-01-01,57,"Data Storage, Cloud Computing, Cloud Storage","51-100",1,,,0,,0,0,0,,,,,,,
"68","Aevena","Science and Engineering, Hardware, Software","San Francisco, California, United States","Operating",,2015-02-01,,"Robotics, Sensor",,1,1,2015-02-01,50000,"Seed",50000,50000,50000,1,0,,,,,
"69","Artify It","Media and Entertainment","San Francisco, California, United States","Operating",,2012-01-01,,"Art, Collaborative Consumption","1-10",1,1,2012-04-25,8e+05,"Angel",8e+05,8e+05,8e+05,4,0,,,,,
"70","ArchVentures SA","Manufacturing, Real Estate, Software, Payments, Financial Services","Faro, Faro, Portugal","Operating",,2014-09-01,4,"Architecture, FinTech, 3D Printing, Cryptocurrency, Crowdfunding, Real Estate, Construction, Bitcoin","11-50",1,1,2014-08-24,328000,"Seed",328000,328000,328000,,,,,,,
"71","Automat","Science and Engineering, Information Technology, Data and Analytics, Software, Internet Services, Messaging and Telecommunications, Design","Montr̩al, Quebec, Canada","Operating",,2016-01-01,,"Human Computer Interaction, Messaging, Artificial Intelligence","1-10",1,1,2016-07-16,0,"Seed",0,0,0,6,1,,,,,
"72","Alkeus Pharmaceuticals","Biotechnology, Science and Engineering","Boston, Massachusetts, United States","Operating",,2011-01-01,,"Biotechnology","1-10",1,1,2010-10-21,1e+05,"Seed",1e+05,1e+05,1e+05,1,0,,,,,
"73","Aykiro","Gaming, Mobile","Bratislava, Bratislava, Slovakia (Slovak Republic)","Operating",,2015-03-01,,"Video Games, Mobile, PC Games","1-10",2,2,2016-05-25,0,"Convertible Note",0,1045032,1045032,3,0,,,,,
"74","AeroDron","Science and Engineering, Hardware, Consumer Electronics, Consumer Goods","Parma, Emilia-Romagna, Italy","Operating",,2012-01-01,1,"Aerospace, Drones",,3,2,2013-12-03,0,"Series A",0,542944,542944,3,0,,,,,
"75","Absolute Antibody","Health Care","Upper Heyford, Somerset, United Kingdom","Operating",,2012-01-01,,"Health Care, Health Diagnostics","1-10",0,1,2014-04-07,0,"Funding Round",0,1287963,1287963,,,,,,,
"76","App-CM","Media and Entertainment, Sales and Marketing, Video, Content and Publishing, Mobile, Advertising","Tokyo, Tokyo, Japan","Operating",,2015-01-01,,"Mobile, Ad Network, Video Streaming, Mobile Advertising",,2,1,2016-03-28,1200000,"Seed",1200000,1200000,1200000,1,0,,,,,
"77","ArcLabs","Hardware, Information Technology, Consumer Electronics, Software","Waterford, Waterford, Ireland","Operating",,2006-01-01,,"Information Technology, Computer, Software",,0,1,2016-04-08,2500000,"Seed",2500000,2500000,2500000,1,0,,,,,
"78","Ambient Industries","Platforms, Navigation and Mapping, Data and Analytics, Software, Internet Services, Mobile","London, England, United Kingdom","Operating",,2008-07-09,7,"Mobile, Location Based Services, iOS, Software","1-10",3,2,2010-02-01,9e+05,"Seed",9e+05,9e+05,9e+05,2,0,,,,,
"79","Angel Club","Software, Financial Services","Shenzhen, Guangdong, China","Operating",,2014-03-01,,"Software, Crowdfunding",,1,1,2014-11-01,3e+05,"Angel",3e+05,3e+05,3e+05,1,0,,,,,
"80","Arkimedia","Media and Entertainment, Internet Services, Video","Roma, Lazio, Italy","Operating",,2010-01-01,,"Internet, Social Media, TV","1-10",1,1,2012-07-12,0,"Series Unknown",0,1461360,1461360,5,0,,,,,
"81","AudioTrip","Travel and Tourism, Hardware, Software","Bielsko-biala, Slaskie, Poland","Operating",,2013-11-19,1,"Travel, Virtual Reality, Tourism","1-10",2,2,2015-09-25,0,"Seed",0,277967,277967,1,0,,,,,
"82","Axiom Zen","Apps, Software, Design, Mobile","Vancouver, British Columbia, Canada","Operating",,2012-01-01,13,"Mobile Apps, Product Design, Enterprise Software","51-100",1,,,0,,0,0,0,,,,,,,
"83","ALCIS Sports","Sports","Noida, Uttar Pradesh, India","Operating",,2016-01-01,,"Sports",,1,1,2017-04-11,0,"Seed",0,0,0,1,1,,,,,
"84","Amrit Advanced Biotech","Biotechnology, Science and Engineering","Cambridge, Cambridgeshire, United Kingdom","Operating",,2007-03-03,,"Biotechnology","1-10",0,3,2009-10-01,0,"Series A",0,3242399,3242399,3,0,,,,,
"85","Aditi Multimedia","Media and Entertainment, Content and Publishing","New York, New York, United States","Operating",,2013-01-01,,"Digital Media, Content Delivery Network","11-50",0,2,2014-02-01,1e+06,"Series A",1e+06,1e+06,1e+06,3,1,,,,,
"86","Amoobi","Commerce and Shopping, Data and Analytics, Mobile","Nivelles, Brabant Wallon, Belgium","Operating",,2011-04-01,,"Analytics, Retail, Mobile","11-50",0,1,2011-08-01,0,"Seed",0,180187,180187,,,,,,,
"87","ARLOOPA INC,",,"Los Altos, California, United States","Operating",,2014-06-07,14,,"11-50",1,,,0,,0,0,0,,,,,,,
"88","Avrio Solutions Company Limited","Hardware, Information Technology, Consumer Electronics, Software, Education, Internet Services, Mobile","Hong Kong, Hong Kong Island, Hong Kong","Operating",,2013-07-01,,"Mobile Devices, Education, Cloud Management, Cloud Infrastructure","11-50",1,1,2014-01-01,41250,"Seed",41250,41250,41250,1,0,,,,,
"89","Ashton Instruments","Sports","Cambridge, Massachusetts, United States","Operating",,2014-01-01,,"Fitness, Sports, Cycling","1-10",3,1,2013-10-29,50000,"Grant",0,0,50000,1,0,,,,,
"90","Arte Manifiesto","Media and Entertainment, Internet Services","Lima, Lima, Peru","Operating",,2011-01-01,,"Art, Internet","11-50",1,2,2014-09-01,0,"Grant",50000,50000,99498,1,0,,,,,
"91","AssetVault","Information Technology, Administrative Services, Payments, Privacy and Security, Financial Services","London, England, United Kingdom","Operating",,2016-01-01,1,"Payments, Physical Security, Asset Management, Cloud Security","1-10",1,,,0,,0,0,0,,,,,,,
"92","Anna Lozabai","Internet Services, Design","Madrid, Madrid, Spain","Operating",,2013-01-01,,"Fashion, Online Portals, Women's","1-10",0,1,2013-06-11,0,"Funding Round",0,265064,265064,1,0,,,,,
"93","Aoi.Co","Education","Japan, Asia","Operating",,2012-03-28,,"Education",,0,1,2014-08-04,1200000,"Seed",1200000,1200000,1200000,,,,,,,
"94","Albus Insurance","Financial Services",,"Operating",,2016-06-01,,"Commercial Insurance, Insurance",,1,,,0,,0,0,0,,,,,,,
"95","Authix Tecnologies","Privacy and Security",,"Closed",2011-01-28,2008-07-01,,"Security","1-10",0,2,2009-01-01,0,"Series B",0,1595790,1595790,1,0,,,,,
"96","AuthorityLabs","Sales and Marketing, Internet Services","Chandler, Arizona, United States","Operating",,2008-09-22,5,"Search Engine, SEO","11-50",1,1,2008-09-22,15000,"Seed",15000,15000,15000,1,0,,,,,
"97","Auryc","Data and Analytics, Software",,"Operating",,2016-01-01,,"Database","11-50",0,1,2017-01-31,0,"Seed",0,0,0,2,0,,,,,
"98","ArtAdvisor Inc.","Media and Entertainment, Internet Services","New York, New York, United States","Was Acquired",,2015-01-01,,"Art, Internet","1-10",0,,,0,,0,0,0,,,,,,,
"99","AlphaBeta Labs","Commerce and Shopping, Data and Analytics, Software, Transportation, Education, Payments, Internet Services, Financial Services","Bangalore, Karnataka, India","Operating",,2010-01-01,,"Internet, Analytics, EdTech, E-Commerce, Automotive, Education, Payments","1-10",3,1,2012-07-17,40000,"Seed",40000,40000,40000,1,0,,,,,
"100","Aesthetic Integration Ltd","Information Technology","London, England, United Kingdom","Operating",,2013-09-01,12,"Infrastructure, Information Technology, Information Services","1-10",2,1,2016-08-12,0,"Seed",0,1299095,1299095,1,0,,,,,
"101","Angles Media Corp.","Internet Services","Seattle, Washington, United States","Operating",,2013-01-01,,"Internet, B2B",,2,1,2014-01-10,35000,"Seed",35000,35000,35000,1,0,,,,,
"102","Accordium ApS","Information Technology, Software, Sales and Marketing, Internet Services, Privacy and Security","Copenhagen, Hovedstaden, Denmark","Operating",,2016-03-01,,"Cloud Computing, Enterprise Software, Sales Automation, E-Signature, Document Management",,2,,,0,,0,0,0,,,,,,,
"103","Amerstem","Information Technology, Health Care","Camarillo, California, United States","Operating",,2012-01-01,,"Information Technology, Health Care","1-10",0,1,2015-03-06,375000,"Series Unknown",375000,375000,375000,,,,,,,
"104","atOnePlace.com","Real Estate","Noida, Uttar Pradesh, India","Was Acquired",,2006-06-26,1,"Commercial Real Estate, Real Estate","51-100",2,1,2008-09-20,250000,"Angel",250000,250000,250000,,,,,,,
"105","Airy:3D","Gaming, Hardware, Consumer Electronics, Real Estate","Montr̩al, Quebec, Canada","Operating",,2015-08-01,,"Electronics, Home Automation, Gaming","1-10",0,1,2015-08-01,5e+05,"Seed",5e+05,383291,383291,1,0,,,,,
"106","Adapt Ready","Software, Financial Services","New York, New York, United States","Operating",,2013-05-01,7,"SaaS, Commercial Insurance, Enterprise Software, Insurance, Risk Management","1-10",3,,,0,,0,0,0,,,,,,,
"107","Africa Bookings","Travel and Tourism","Alton, New Hampshire, United States","Operating",,2013-01-01,,"Travel",,0,1,2015-06-01,25000,"Seed",25000,25000,25000,2,2,,,,,
"108","Ambi Labs","Hardware, Consumer Electronics, Software, Internet Services","Sheung Wan, Hong Kong Island, Hong Kong","Operating",,2012-07-15,21,"Consumer Electronics, Internet of Things, Software, Hardware","11-50",3,,,0,,0,0,0,,,,,,,
"109","AIO Robotics","Manufacturing, Science and Engineering, Hardware, Software","Los Angeles, California, United States","Operating",,2013-05-24,22,"Robotics, Hardware, Software, 3D Printing","11-50",3,3,2016-03-30,0,"Angel",0,0,0,2,0,,,,,
"110","Apollo Laser Welding Services","Manufacturing","Memphis, Tennessee, United States","Operating",,2014-06-09,,"Manufacturing","1-10",0,1,2013-11-20,140000,"Equity Crowdfunding",140000,140000,140000,,,,,,,
"111","ATP Labs","Agriculture and Farming, Science and Engineering, Food and Beverage, Data and Analytics, Software, Internet Services","Tel Aviv, Tel Aviv, Israel","Operating",,2016-01-13,,"Software, Artificial Intelligence, Agriculture, Food and Beverage, Internet of Things, Cloud Computing","1-10",3,,,0,,0,0,0,,,,,,,
"112","AI Music",,"London, England, United Kingdom","Operating",,2016-08-01,,,"1-10",0,,,0,,0,0,0,,,,,,,
"113","apilayer","Software, Internet Services","Vienna, Wien, Austria","Operating",,2015-02-02,1,"Developer APIs, Internet","1-10",2,,,0,,0,0,0,,,,,,,
"114","Atlanta Ventures","Financial Services","Atlanta, Georgia, United States","Operating",,,12,"Finance",,1,,,0,,0,0,0,,,,,,,
"115","AeroGuest",,,"Operating",,,,,,0,1,2017-03-16,0,"Series Unknown",0,0,0,2,0,,,,,
"116","AZ you Inc.","Health Care","Asheville, North Carolina, United States","Operating",,2017-01-27,,"SaaS, Nutrition","1-10",1,,,0,,0,0,0,,,,,,,
"117","Affairal","Apps, Commerce and Shopping, Software, Internet Services, Design, Mobile","Bengaluru, Karnataka, India","Operating",,2016-04-23,,"Fashion, Online Portals, Mobile Apps, Marketplace, E-Commerce Platforms","1-10",1,,,0,,0,0,0,,,,,,,
"118","Autonomos GmbH","Manufacturing, Hardware, Data and Analytics, Software, Design","Berlin, Berlin, Germany","Was Acquired",,2012-01-01,,"3D Technology, Sensor, Consumer Research, 3D Printing, Software",,0,,,0,,0,0,0,,,,,,,
"119","AustrianStartups","Sales and Marketing, Financial Services, Lending and Investments","Vienna, Wien, Austria","Operating",,2013-05-03,,"Incubators, Non Profit, Public Relations","11-50",4,,,0,,0,0,0,,,,,,,
"120","Alive Juices",,"Washington, District of Columbia, United States","Operating",,2013-05-01,,"Consulting","1-10",0,1,2014-07-22,50000,"Convertible Note",50000,50000,50000,,,,,,,
"121","ADLATUS Robotics",,"Ulm, Baden-Wurttemberg, Germany","Operating",,,,,,2,1,2017-01-27,0,"Seed",0,0,0,2,1,,,,,
"122","AngelCrunch","Financial Services","Beijing, Beijing, China","Operating",,2011-11-01,5,"Crowdfunding, Finance","51-100",1,2,2014-01-01,0,"Series A",0,0,0,1,0,,,,,
"123","Alterra.ai","Science and Engineering, Travel and Tourism, Data and Analytics, Software","Palo Alto, California, United States","Operating",,,2,"Travel, Artificial Intelligence","1-10",1,,,0,,0,0,0,,,,,,,
"124","AIIeyWatch","Media and Entertainment, Education, Content and Publishing, Financial Services, Lending and Investments","New York, New York, United States","Operating",,2012-10-01,1,"Venture Capital, Training, News, Publishing","11-50",2,1,2012-10-15,40000,"Seed",40000,40000,40000,,,,,,,
"125","Amiko","Biotechnology, Data and Analytics, Health Care","Milan, Lombardia, Italy","Operating",,2015-02-20,6,"Medical, Health Care, Quantified Self, Personal Health","1-10",3,1,2016-01-22,0,"Seed",0,0,0,1,1,,,,,
"126","angioClast","Biotechnology, Science and Engineering","Cambridge, Cambridgeshire, United Kingdom","Operating",,2015-01-01,,"Biotechnology","1-10",2,1,2016-03-07,0,"Non-equity Assistance",0,0,0,1,0,,,,,
"127","ANTVR Technology","Manufacturing, Science and Engineering, Hardware, Consumer Electronics, Software, Mobile","Beijing, Beijing, China","Operating",,,6,"Virtual Reality, Mobile Devices, Advanced Materials","11-50",2,,,0,,0,0,0,,,,,,,
"128","AR pandora (Pandora Reality)","Software","Istanbul, Istanbul, Turkey","Operating",,2014-05-01,5,"Software","1-10",1,1,2016-09-07,0,"Angel",0,0,0,1,0,,,,,
"129","Angel-List","Financial Services","San Francisco, California, United States","Closed",2013-01-01,2012-01-01,,"Finance","1-10",1,,,0,,0,0,0,,,,,,,
"130","Adult App Store | MiKandi","Platforms, Apps, Software, Mobile","Seattle, Washington, United States","Operating",,2009-01-01,3,"Mobile, Android, Apps","11-50",2,,,0,,0,0,0,,,,,,,
"131","Atomx","Sales and Marketing, Internet Services, Advertising","Kuala Lumpur, Kuala Lumpur, Malaysia","Operating",,2015-01-01,,"Ad Exchange, Marketing, Internet, Service Industry","11-50",3,,,0,,0,0,0,,,,,,,
